venue,venue_code,disciplines,disciplines_code,url_sport,url_venue,events
Anterselva Biathlon Arena,ABA,discipline-biathlon,BTH,['https://www.olympics.com/en/milano-cortina-2026/sports/biathlon/'],https://www.olympics.com/en/milano-cortina-2026/venues/anterselva-biathlon-arena,"[('Biathlon', 'Mixed Relay 4 x 6km (M+W)'), ('Biathlon', ""Men's 20km Individual""), ('Biathlon', ""Women's 15km Individual""), ('Biathlon', ""Men's 10km Sprint""), ('Biathlon', ""Women's 7.5km Sprint""), ('Biathlon', ""Men's 12.5km Pursuit""), ('Biathlon', ""Women's 10km Pursuit""), ('Biathlon', ""Men's 4 x 7.5km Relay""), ('Biathlon', ""Women's 4 x 6km Relay""), ('Biathlon', ""Men's 15km Mass Start""), ('Biathlon', ""Women's 12.5km Mass Start"")]"
Cortina Curling Olympic Stadium,CCU,discipline-curling,CUR,['https://www.olympics.com/en/milano-cortina-2026/sports/curling/'],https://www.olympics.com/en/milano-cortina-2026/venues/cortina-curling-olympic-stadium,"[('Curling', 'Mixed Doubles'), ('Curling', 'Men'), ('Curling', 'Women')]"
Cortina Sliding Centre,CSC,"[""discipline-bobsleigh"",""discipline-luge"",""discipline-skeleton""]","[""BOB"",""LUG"",""SKN""]","['https://www.olympics.com/en/milano-cortina-2026/sports/bobsleigh/', 'https://www.olympics.com/en/milano-cortina-2026/sports/luge/', 'https://www.olympics.com/en/milano-cortina-2026/sports/skeleton/']",https://www.olympics.com/en/milano-cortina-2026/venues/cortina-sliding-centre,"[('Luge', ""Men's Singles""), ('Luge', ""Women's Singles""), ('Luge', ""Men's Doubles""), ('Luge', ""Women's Doubles""), ('Skeleton', 'Women'), ('Skeleton', 'Men'), ('Bobsleigh', '2-man'), ('Bobsleigh', ""Women's Monobob""), ('Luge', 'Team Relay'), ('Skeleton', 'Mixed Team'), ('Bobsleigh', '2-woman'), ('Bobsleigh', '4-man')]"
Livigno Aerials & Moguls Park,LAM,discipline-freestyle-skiing,FRS,['https://www.olympics.com/en/milano-cortina-2026/sports/freestyle-skiing/'],https://www.olympics.com/en/milano-cortina-2026/venues/livigno-aerials-moguls-park,"[('Freestyle Skiing', ""Men's Moguls""), ('Freestyle Skiing', ""Women's Moguls""), ('Freestyle Skiing', ""Women's Dual Moguls""), ('Freestyle Skiing', ""Men's Dual Moguls""), ('Freestyle Skiing', ""Women's Aerials""), ('Freestyle Skiing', ""Men's Aerials""), ('Freestyle Skiing', 'Mixed Team Aerials')]"
Livigno Snow Park,LSP,"[""discipline-freestyle-skiing"",""discipline-snowboard""]","[""FRS"",""SBD""]","['https://www.olympics.com/en/milano-cortina-2026/sports/freestyle-skiing/', 'https://www.olympics.com/en/milano-cortina-2026/sports/snowboard/']",https://www.olympics.com/en/milano-cortina-2026/venues/livigno-snow-park,"[('Snowboard', ""Men's Snowboard Big Air""), ('Freestyle Skiing', ""Women's Freeski Slopestyle""), ('Freestyle Skiing', ""Men's Freeski Slopestyle""), ('Snowboard', ""Women's Parallel Giant Slalom""), ('Snowboard', ""Men's Parallel Giant Slalom""), ('Snowboard', ""Women's Snowboard Big Air""), ('Snowboard', ""Women's Snowboard Halfpipe""), ('Snowboard', ""Men's Snowboard Halfpipe""), ('Snowboard', ""Men's Snowboard Cross""), ('Snowboard', ""Women's Snowboard Cross""), ('Freestyle Skiing', ""Women's Freeski Big Air""), ('Snowboard', ""Men's Snowboard Slopestyle""), ('Snowboard', 'Mixed Team Snowboard Cross'), ('Snowboard', ""Women's Snowboard Slopestyle""), ('Freestyle Skiing', ""Men's Freeski Big Air""), ('Freestyle Skiing', ""Women's Freeski Halfpipe""), ('Freestyle Skiing', ""Women's Ski Cross""), ('Freestyle Skiing', ""Men's Freeski Halfpipe""), ('Freestyle Skiing', ""Men's Ski Cross"")]"
Milano Ice Skating Arena,MSK,"[""discipline-figure-skating"",""discipline-short-track-speed-skating""]","[""FSK"",""STK""]","['https://www.olympics.com/en/milano-cortina-2026/sports/figure-skating/', 'https://www.olympics.com/en/milano-cortina-2026/sports/short-track-speed-skating/']",https://www.olympics.com/en/milano-cortina-2026/venues/milano-ice-skating-arena,"[('Figure Skating', 'Team Event'), ('Figure Skating', 'Ice Dance'), ('Short Track Speed Skating', ""Women's 500m""), ('Short Track Speed Skating', ""Men's 1000m""), ('Short Track Speed Skating', 'Mixed Team Relay'), ('Figure Skating', 'Men Single Skating'), ('Short Track Speed Skating', ""Men's 1500m""), ('Short Track Speed Skating', ""Women's 1000m""), ('Short Track Speed Skating', ""Women's 3000m Relay""), ('Figure Skating', 'Pair Skating'), ('Short Track Speed Skating', ""Men's 500m""), ('Short Track Speed Skating', ""Men's 5000m Relay""), ('Figure Skating', 'Women Single Skating'), ('Short Track Speed Skating', ""Women's 1500m"")]"
Milano San Siro Olympic Stadium,MOS,,,,https://www.olympics.com/en/milano-cortina-2026/venues/milano-san-siro-olympic-stadium,[]
Milano Santagiulia Ice Hockey Arena,MH1,discipline-ice-hockey,IHO,['https://www.olympics.com/en/milano-cortina-2026/sports/ice-hockey/'],https://www.olympics.com/en/milano-cortina-2026/venues/milano-santagiulia-ice-hockey-arena,"[('Ice Hockey', 'Women'), ('Ice Hockey', 'Men')]"
Milano Speed Skating Stadium,MSS,discipline-speed-skating,SSK,['https://www.olympics.com/en/milano-cortina-2026/sports/speed-skating/'],https://www.olympics.com/en/milano-cortina-2026/venues/milano-speed-skating-stadium,"[('Speed Skating', ""Women's 3000m""), ('Speed Skating', ""Men's 5000m""), ('Speed Skating', ""Women's 1000m""), ('Speed Skating', ""Men's 1000m""), ('Speed Skating', ""Women's 5000m""), ('Speed Skating', ""Men's 10000m""), ('Speed Skating', ""Women's Team Pursuit""), ('Speed Skating', ""Men's 500m""), ('Speed Skating', ""Men's Team Pursuit""), ('Speed Skating', ""Women's 500m""), ('Speed Skating', ""Men's 1500m""), ('Speed Skating', ""Women's 1500m""), ('Speed Skating', ""Men's Mass Start""), ('Speed Skating', ""Women's Mass Start"")]"
Milano Rho Ice Hockey Arena,MH2,discipline-ice-hockey,IHO,['https://www.olympics.com/en/milano-cortina-2026/sports/ice-hockey/'],https://www.olympics.com/en/milano-cortina-2026/venues/milano-rho-ice-hockey-arena,"[('Ice Hockey', 'Women'), ('Ice Hockey', 'Men')]"
