code,name,team_type,gender,country_code,events
BOBWTEAM2---GER03,BUCKWITZ Lisa,CUSTOM,W,GER,"[{'discipline': 'Bobsleigh', 'event': '2-woman'}]"
BTHXRELAY4--BUL01,Bulgaria,ORG,X,BUL,"[{'discipline': 'Biathlon', 'event': 'Mixed Relay 4 x 6km (M+W)'}]"
BTHM4X7.5KM-BUL01,Bulgaria,ORG,M,BUL,"[{'discipline': 'Biathlon', 'event': ""Men's 4 x 7.5km Relay""}]"
BTHW4X6KM---BUL01,Bulgaria,ORG,W,BUL,"[{'discipline': 'Biathlon', 'event': ""Women's 4 x 6km Relay""}]"
CCSMTEAMSP2-BUL01,Bulgaria,ORG,M,BUL,"[{'discipline': 'Cross-Country Skiing', 'event': ""Men's Team Sprint Free""}]"
CCSMTEAMSP2-CAN01,Canada,ORG,M,CAN,"[{'discipline': 'Cross-Country Skiing', 'event': ""Men's Team Sprint Free""}]"
CCSM4X7.5KM-CAN01,Canada,ORG,M,CAN,"[{'discipline': 'Cross-Country Skiing', 'event': ""Men's 4 x 7.5km Relay""}]"
FRSXAET-----CAN01,Canada,ORG,X,CAN,"[{'discipline': 'Freestyle Skiing', 'event': 'Mixed Team Aerials'}]"
CURMTEAM4---CAN01,Canada,ORG,M,CAN,"[{'discipline': 'Curling', 'event': 'Men'}]"
CURWTEAM4---CAN01,Canada,ORG,W,CAN,"[{'discipline': 'Curling', 'event': 'Women'}]"
CURXTEAM2---CAN01,Canada,ORG,X,CAN,"[{'discipline': 'Curling', 'event': 'Mixed Doubles'}]"
FSKXTEAM----CAN01,Canada,ORG,X,CAN,"[{'discipline': 'Figure Skating', 'event': 'Team Event'}]"
IHOMTEAM6---CAN01,Canada,ORG,M,CAN,"[{'discipline': 'Ice Hockey', 'event': 'Men'}]"
IHOWTEAM6---CAN01,Canada,ORG,W,CAN,"[{'discipline': 'Ice Hockey', 'event': 'Women'}]"
STKXRELAY4--CAN01,Canada,ORG,X,CAN,"[{'discipline': 'Short Track Speed Skating', 'event': 'Mixed Team Relay'}]"
STKM5000MRY4CAN01,Canada,ORG,M,CAN,"[{'discipline': 'Short Track Speed Skating', 'event': ""Men's 5000m Relay""}]"
STKW3000MRY4CAN01,Canada,ORG,W,CAN,"[{'discipline': 'Short Track Speed Skating', 'event': ""Women's 3000m Relay""}]"
SSKWTEAMPU--CAN01,Canada,ORG,W,CAN,"[{'discipline': 'Speed Skating', 'event': ""Women's Team Pursuit""}]"
BTHW4X6KM---CAN01,Canada,ORG,W,CAN,"[{'discipline': 'Biathlon', 'event': ""Women's 4 x 6km Relay""}]"
BTHM4X7.5KM-CAN01,Canada,ORG,M,CAN,"[{'discipline': 'Biathlon', 'event': ""Men's 4 x 7.5km Relay""}]"
CCSWTEAMSP2-CAN01,Canada,ORG,W,CAN,"[{'discipline': 'Cross-Country Skiing', 'event': ""Women's Team Sprint Free""}]"
CCSW4X7.5KM-CAN01,Canada,ORG,W,CAN,"[{'discipline': 'Cross-Country Skiing', 'event': ""Women's 4 x 7.5km Relay""}]"
BTHXRELAY4--CAN01,Canada,ORG,X,CAN,"[{'discipline': 'Biathlon', 'event': 'Mixed Relay 4 x 6km (M+W)'}]"
ALPWTC-----CAN01,Canada 1,ORGN,W,CAN,"[{'discipline': 'Alpine Skiing', 'event': ""Women's Team Combined""}]"
SBDXBXT-----CAN01,Canada 1,ORGN,X,CAN,"[{'discipline': 'Snowboard', 'event': 'Mixed Team Snowboard Cross'}]"
ALPWTC-----CAN02,Canada 2,ORGN,W,CAN,"[{'discipline': 'Alpine Skiing', 'event': ""Women's Team Combined""}]"
FSKXICEDANCEUSA03,CARREIRA Christina / PONOMARENKO Anthony,CPLW,X,USA,"[{'discipline': 'Figure Skating', 'event': 'Ice Dance'}, {'discipline': 'Figure Skating', 'event': 'Team Event'}]"
BOBWTEAM2---SVK01,CERNANSKA Viktoria,CUSTOM,W,SVK,"[{'discipline': 'Bobsleigh', 'event': '2-woman'}]"
FSKXPAIRS---USA02,CHAN Emily / HOWE Spencer Akira,CPLW,X,USA,"[{'discipline': 'Figure Skating', 'event': 'Pair Skating'}, {'discipline': 'Figure Skating', 'event': 'Team Event'}]"
SKNXRELAY2--CAN01,CHANNELL Jane / BRUSIC Josip,CPLW,X,CAN,"[{'discipline': 'Skeleton', 'event': 'Mixed Team'}]"
LUGMDOUBLES-POL01,CHMIELEWSKI Wojciech / GANCARCZYK Michal,CPLP,M,POL,"[{'discipline': 'Luge', 'event': ""Men's Doubles""}, {'discipline': 'Luge', 'event': 'Team Relay'}]"
FSKXICEDANCEUSA01,CHOCK Madison / BATES Evan,CPLW,X,USA,"[{'discipline': 'Figure Skating', 'event': 'Ice Dance'}, {'discipline': 'Figure Skating', 'event': 'Team Event'}]"
FSKXPAIRS---POL01,CHTCHETININA Ioulia / WOZNIAK Michal,CPLW,X,POL,"[{'discipline': 'Figure Skating', 'event': 'Pair Skating'}, {'discipline': 'Figure Skating', 'event': 'Team Event'}]"
FSKXPAIRS---ITA01,CONTI Sara / MACII Niccolo,CPLW,X,ITA,"[{'discipline': 'Figure Skating', 'event': 'Pair Skating'}, {'discipline': 'Figure Skating', 'event': 'Team Event'}]"
CCSWTEAMSP2-CRO01,Croatia,ORG,W,CRO,"[{'discipline': 'Cross-Country Skiing', 'event': ""Women's Team Sprint Free""}]"
SKNXRELAY2--USA01,CURTIS Kelly / BAREFOOT Daniel,CPLW,X,USA,"[{'discipline': 'Skeleton', 'event': 'Mixed Team'}]"
NCBMLH2X7.5KCZE01,Czechia,ORG,M,CZE,"[{'discipline': 'Nordic Combined', 'event': 'Team Sprint'}]"
IHOWTEAM6---CZE01,Czechia,ORG,W,CZE,"[{'discipline': 'Ice Hockey', 'event': 'Women'}]"
IHOMTEAM6---CZE01,Czechia,ORG,M,CZE,"[{'discipline': 'Ice Hockey', 'event': 'Men'}]"
CURXTEAM2---CZE01,Czechia,ORG,X,CZE,"[{'discipline': 'Curling', 'event': 'Mixed Doubles'}]"
CURMTEAM4---CZE01,Czechia,ORG,M,CZE,"[{'discipline': 'Curling', 'event': 'Men'}]"
CCSM4X7.5KM-CZE01,Czechia,ORG,M,CZE,"[{'discipline': 'Cross-Country Skiing', 'event': ""Men's 4 x 7.5km Relay""}]"
CCSWTEAMSP2-CZE01,Czechia,ORG,W,CZE,"[{'discipline': 'Cross-Country Skiing', 'event': ""Women's Team Sprint Free""}]"
CCSMTEAMSP2-CZE01,Czechia,ORG,M,CZE,"[{'discipline': 'Cross-Country Skiing', 'event': ""Men's Team Sprint Free""}]"
CCSW4X7.5KM-CZE01,Czechia,ORG,W,CZE,"[{'discipline': 'Cross-Country Skiing', 'event': ""Women's 4 x 7.5km Relay""}]"
BTHM4X7.5KM-CZE01,Czechia,ORG,M,CZE,"[{'discipline': 'Biathlon', 'event': ""Men's 4 x 7.5km Relay""}]"
BTHW4X6KM---CZE01,Czechia,ORG,W,CZE,"[{'discipline': 'Biathlon', 'event': ""Women's 4 x 6km Relay""}]"
BTHXRELAY4--CZE01,Czechia,ORG,X,CZE,"[{'discipline': 'Biathlon', 'event': 'Mixed Relay 4 x 6km (M+W)'}]"
ALPMTC-----CZE,Czechia,ORG,M,CZE,"[{'discipline': 'Alpine Skiing', 'event': ""Men's Team Combined""}]"
ALPWTC-----CZE01,Czechia 1,ORGN,W,CZE,"[{'discipline': 'Alpine Skiing', 'event': ""Women's Team Combined""}]"
SBDXBXT-----CZE01,Czechia 1,ORGN,X,CZE,"[{'discipline': 'Snowboard', 'event': 'Mixed Team Snowboard Cross'}]"
SBDXBXT-----CZE02,Czechia 2,ORGN,X,CZE,"[{'discipline': 'Snowboard', 'event': 'Mixed Team Snowboard Cross'}]"
ALPWTC-----CZE02,Czechia 2,ORGN,W,CZE,"[{'discipline': 'Alpine Skiing', 'event': ""Women's Team Combined""}]"
FSKXPAIRS---NED01,DANILOVA Daria / TSIBA Michel,CPLW,X,NED,"[{'discipline': 'Figure Skating', 'event': 'Pair Skating'}]"
FSKXICEDANCEGEO01,DAVIS Diana / SMOLKIN Gleb,CPLW,X,GEO,"[{'discipline': 'Figure Skating', 'event': 'Ice Dance'}, {'discipline': 'Figure Skating', 'event': 'Team Event'}]"
BOBWTEAM2---ITA02,de SILVESTRO Simona,CUSTOM,W,ITA,"[{'discipline': 'Bobsleigh', 'event': '2-woman'}]"
BOBMTEAM2---CAN01,DEARBORN Jay,CUSTOM,M,CAN,"[{'discipline': 'Bobsleigh', 'event': '2-man'}]"
BOBMTEAM4---CAN02,DEARBORN Jay,CUSTOM,M,CAN,"[{'discipline': 'Bobsleigh', 'event': '4-man'}]"
BOBMTEAM2---USA01,del DUCA Frankie,CUSTOM,M,USA,"[{'discipline': 'Bobsleigh', 'event': '2-man'}]"
BOBMTEAM4---USA02,del DUCA Frankie,CUSTOM,M,USA,"[{'discipline': 'Bobsleigh', 'event': '4-man'}]"
IHOMTEAM6---DEN01,Denmark,ORG,M,DEN,"[{'discipline': 'Ice Hockey', 'event': 'Men'}]"
CURWTEAM4---DEN01,Denmark,ORG,W,DEN,"[{'discipline': 'Curling', 'event': 'Women'}]"
LUGMDOUBLES-USA02,DIGREGORIO Zachary / HOLLANDER Sean,CPLP,M,USA,"[{'discipline': 'Luge', 'event': ""Men's Doubles""}]"
LUGWDOUBLES-POL01,DOMOWICZ Nikola / PIWKOWSKA Dominika,CPLP,W,POL,"[{'discipline': 'Luge', 'event': ""Women's Doubles""}, {'discipline': 'Luge', 'event': 'Team Relay'}]"
FSKXICEDANCEPOL01,DOVHAL Sofiia / KULESZA Wiktor,CPLW,X,POL,"[{'discipline': 'Figure Skating', 'event': 'Team Event'}]"
BOBMTEAM4---ISR01,EDELMAN Adam,CUSTOM,M,ISR,"[{'discipline': 'Bobsleigh', 'event': '4-man'}]"
BOBMTEAM2---ISR01,EDELMAN Adam,CUSTOM,M,ISR,"[{'discipline': 'Bobsleigh', 'event': '2-man'}]"
LUGMDOUBLES-GER02,EGGERT Toni / MUELLER Florian,CPLP,M,GER,"[{'discipline': 'Luge', 'event': ""Men's Doubles""}]"
LUGWDOUBLES-AUT01,EGLE Selina / KIPP Lara Michaela,CPLP,W,AUT,"[{'discipline': 'Luge', 'event': ""Women's Doubles""}, {'discipline': 'Luge', 'event': 'Team Relay'}]"
LUGWDOUBLES-GER01,EITBERGER Dajana / MATSCHINA Magdalena,CPLP,W,GER,"[{'discipline': 'Luge', 'event': ""Women's Doubles""}, {'discipline': 'Luge', 'event': 'Team Relay'}]"
NCBMLH2X7.5KEST01,Estonia,ORG,M,EST,"[{'discipline': 'Nordic Combined', 'event': 'Team Sprint'}]"
SJPMLHTEAM2-EST01,Estonia,ORG,M,EST,"[{'discipline': 'Ski Jumping', 'event': ""Men's Super Team""}]"
CURXTEAM2---EST01,Estonia,ORG,X,EST,"[{'discipline': 'Curling', 'event': 'Mixed Doubles'}]"
CCSMTEAMSP2-EST01,Estonia,ORG,M,EST,"[{'discipline': 'Cross-Country Skiing', 'event': ""Men's Team Sprint Free""}]"
BTHXRELAY4--EST01,Estonia,ORG,X,EST,"[{'discipline': 'Biathlon', 'event': 'Mixed Relay 4 x 6km (M+W)'}]"
BTHW4X6KM---EST01,Estonia,ORG,W,EST,"[{'discipline': 'Biathlon', 'event': ""Women's 4 x 6km Relay""}]"
BTHM4X7.5KM-EST01,Estonia,ORG,M,EST,"[{'discipline': 'Biathlon', 'event': ""Men's 4 x 7.5km Relay""}]"
CCSW4X7.5KM-EST01,Estonia,ORG,W,EST,"[{'discipline': 'Cross-Country Skiing', 'event': ""Women's 4 x 7.5km Relay""}]"
CCSWTEAMSP2-EST01,Estonia,ORG,W,EST,"[{'discipline': 'Cross-Country Skiing', 'event': ""Women's Team Sprint Free""}]"
FSKXICEDANCEGBR01,FEAR Lilah / GIBSON Lewis,CPLW,X,GBR,"[{'discipline': 'Figure Skating', 'event': 'Ice Dance'}, {'discipline': 'Figure Skating', 'event': 'Team Event'}]"
IHOMTEAM6---FIN01,Finland,ORG,M,FIN,"[{'discipline': 'Ice Hockey', 'event': 'Men'}]"
IHOWTEAM6---FIN01,Finland,ORG,W,FIN,"[{'discipline': 'Ice Hockey', 'event': 'Women'}]"
CCSMTEAMSP2-FIN01,Finland,ORG,M,FIN,"[{'discipline': 'Cross-Country Skiing', 'event': ""Men's Team Sprint Free""}]"
CCSM4X7.5KM-FIN01,Finland,ORG,M,FIN,"[{'discipline': 'Cross-Country Skiing', 'event': ""Men's 4 x 7.5km Relay""}]"
SJPMLHTEAM2-FIN01,Finland,ORG,M,FIN,"[{'discipline': 'Ski Jumping', 'event': ""Men's Super Team""}]"
NCBMLH2X7.5KFIN01,Finland,ORG,M,FIN,"[{'discipline': 'Nordic Combined', 'event': 'Team Sprint'}]"
SJPXNHTEAM4-FIN01,Finland,ORG,X,FIN,"[{'discipline': 'Ski Jumping', 'event': 'Mixed Team'}]"
CCSWTEAMSP2-FIN01,Finland,ORG,W,FIN,"[{'discipline': 'Cross-Country Skiing', 'event': ""Women's Team Sprint Free""}]"
CCSW4X7.5KM-FIN01,Finland,ORG,W,FIN,"[{'discipline': 'Cross-Country Skiing', 'event': ""Women's 4 x 7.5km Relay""}]"
BTHM4X7.5KM-FIN01,Finland,ORG,M,FIN,"[{'discipline': 'Biathlon', 'event': ""Men's 4 x 7.5km Relay""}]"
BTHW4X6KM---FIN01,Finland,ORG,W,FIN,"[{'discipline': 'Biathlon', 'event': ""Women's 4 x 6km Relay""}]"
BTHXRELAY4--FIN01,Finland,ORG,X,FIN,"[{'discipline': 'Biathlon', 'event': 'Mixed Relay 4 x 6km (M+W)'}]"
ALPMTC-----FIN,Finland,ORG,M,FIN,"[{'discipline': 'Alpine Skiing', 'event': ""Men's Team Combined""}]"
SKNXRELAY2--AUT01,FLOCK Janine / MAIER Samuel,CPLW,X,AUT,"[{'discipline': 'Skeleton', 'event': 'Mixed Team'}]"
BOBMTEAM4---SUI02,FOLLADOR Cedric,CUSTOM,M,SUI,"[{'discipline': 'Bobsleigh', 'event': '4-man'}]"
BOBMTEAM2---SUI02,FOLLADOR Cedric,CUSTOM,M,SUI,"[{'discipline': 'Bobsleigh', 'event': '2-man'}]"
LUGWDOUBLES-USA01,FORGAN Chevonne / KIRKBY Sophia,CPLP,W,USA,"[{'discipline': 'Luge', 'event': ""Women's Doubles""}, {'discipline': 'Luge', 'event': 'Team Relay'}]"
FSKXICEDANCEFRA01,FOURNIER BEAUDRY Laurence / CIZERON Guillaume,CPLW,X,FRA,"[{'discipline': 'Figure Skating', 'event': 'Ice Dance'}, {'discipline': 'Figure Skating', 'event': 'Team Event'}]"
IHOWTEAM6---FRA01,France,ORG,W,FRA,"[{'discipline': 'Ice Hockey', 'event': 'Women'}]"
IHOMTEAM6---FRA01,France,ORG,M,FRA,"[{'discipline': 'Ice Hockey', 'event': 'Men'}]"
FSKXTEAM----FRA01,France,ORG,X,FRA,"[{'discipline': 'Figure Skating', 'event': 'Team Event'}]"
CCSM4X7.5KM-FRA01,France,ORG,M,FRA,"[{'discipline': 'Cross-Country Skiing', 'event': ""Men's 4 x 7.5km Relay""}]"
CCSMTEAMSP2-FRA01,France,ORG,M,FRA,"[{'discipline': 'Cross-Country Skiing', 'event': ""Men's Team Sprint Free""}]"
SJPXNHTEAM4-FRA01,France,ORG,X,FRA,"[{'discipline': 'Ski Jumping', 'event': 'Mixed Team'}]"
NCBMLH2X7.5KFRA01,France,ORG,M,FRA,"[{'discipline': 'Nordic Combined', 'event': 'Team Sprint'}]"
SJPMLHTEAM2-FRA01,France,ORG,M,FRA,"[{'discipline': 'Ski Jumping', 'event': ""Men's Super Team""}]"
SMTXRELAY---FRA01,France,ORG,X,FRA,"[{'discipline': 'Ski Mountaineering', 'event': 'Mixed Relay'}]"
STKW3000MRY4FRA01,France,ORG,W,FRA,"[{'discipline': 'Short Track Speed Skating', 'event': ""Women's 3000m Relay""}]"
STKXRELAY4--FRA01,France,ORG,X,FRA,"[{'discipline': 'Short Track Speed Skating', 'event': 'Mixed Team Relay'}]"
SSKMTEAMPU--FRA01,France,ORG,M,FRA,"[{'discipline': 'Speed Skating', 'event': ""Men's Team Pursuit""}]"
BTHXRELAY4--FRA01,France,ORG,X,FRA,"[{'discipline': 'Biathlon', 'event': 'Mixed Relay 4 x 6km (M+W)'}]"
BTHW4X6KM---FRA01,France,ORG,W,FRA,"[{'discipline': 'Biathlon', 'event': ""Women's 4 x 6km Relay""}]"
BTHM4X7.5KM-FRA01,France,ORG,M,FRA,"[{'discipline': 'Biathlon', 'event': ""Men's 4 x 7.5km Relay""}]"
CCSW4X7.5KM-FRA01,France,ORG,W,FRA,"[{'discipline': 'Cross-Country Skiing', 'event': ""Women's 4 x 7.5km Relay""}]"
CCSWTEAMSP2-FRA02,France,ORG,W,FRA,"[{'discipline': 'Cross-Country Skiing', 'event': ""Women's Team Sprint Free""}]"
ALPMTC-----FRA01,France 1,ORGN,M,FRA,"[{'discipline': 'Alpine Skiing', 'event': ""Men's Team Combined""}]"
ALPWTC-----FRA01,France 1,ORGN,W,FRA,"[{'discipline': 'Alpine Skiing', 'event': ""Women's Team Combined""}]"
SBDXBXT-----FRA01,France 1,ORGN,X,FRA,"[{'discipline': 'Snowboard', 'event': 'Mixed Team Snowboard Cross'}]"
SBDXBXT-----FRA02,France 2,ORGN,X,FRA,"[{'discipline': 'Snowboard', 'event': 'Mixed Team Snowboard Cross'}]"
ALPWTC-----FRA02,France 2,ORGN,W,FRA,"[{'discipline': 'Alpine Skiing', 'event': ""Women's Team Combined""}]"
ALPMTC-----FRA02,France 2,ORGN,M,FRA,"[{'discipline': 'Alpine Skiing', 'event': ""Men's Team Combined""}]"
ALPMTC-----FRA03,France 3,ORGN,M,FRA,"[{'discipline': 'Alpine Skiing', 'event': ""Men's Team Combined""}]"
ALPWTC-----FRA03,France 3,ORGN,W,FRA,"[{'discipline': 'Alpine Skiing', 'event': ""Women's Team Combined""}]"
SBDXBXT-----FRA03,France 3,ORGN,X,FRA,"[{'discipline': 'Snowboard', 'event': 'Mixed Team Snowboard Cross'}]"
BOBMTEAM4---GER01,FRIEDRICH Francesco,CUSTOM,M,GER,"[{'discipline': 'Bobsleigh', 'event': '4-man'}]"
BOBMTEAM2---GER01,FRIEDRICH Francesco,CUSTOM,M,GER,"[{'discipline': 'Bobsleigh', 'event': '2-man'}]"
SKNXRELAY2--ITA02,FUMAGALLI Alessandra / BAGNIS Amedeo,CPLW,X,ITA,"[{'discipline': 'Skeleton', 'event': 'Mixed Team'}]"
LUGMDOUBLES-AUT01,GATT Juri Thomas / SCHOEPF Riccardo Martin,CPLP,M,AUT,"[{'discipline': 'Luge', 'event': ""Men's Doubles""}]"
FSKXTEAM----GEO01,Georgia,ORG,X,GEO,"[{'discipline': 'Figure Skating', 'event': 'Team Event'}]"
CURMTEAM4---GER01,Germany,ORG,M,GER,"[{'discipline': 'Curling', 'event': 'Men'}]"
CCSMTEAMSP2-GER01,Germany,ORG,M,GER,"[{'discipline': 'Cross-Country Skiing', 'event': ""Men's Team Sprint Free""}]"
CCSM4X7.5KM-GER01,Germany,ORG,M,GER,"[{'discipline': 'Cross-Country Skiing', 'event': ""Men's 4 x 7.5km Relay""}]"
