code,name,team_type,gender,country_code,events
FSKXPAIRS---ARM01,AKOPOVA Karina / RAKHMANIN Nikita,CPLW,X,ARM,"[{'discipline': 'Figure Skating', 'event': 'Pair Skating'}]"
BOBMTEAM2---GER03,AMMOUR Adam,CUSTOM,M,GER,"[{'discipline': 'Bobsleigh', 'event': '2-man'}]"
BOBMTEAM4---GER03,AMMOUR Adam,CUSTOM,M,GER,"[{'discipline': 'Bobsleigh', 'event': '4-man'}]"
BOBWTEAM2---ITA01,ANDREUTTI Giada,CUSTOM,W,ITA,"[{'discipline': 'Bobsleigh', 'event': '2-woman'}]"
SKNXRELAY2--LAT01,ANDZANE Marta / INDRIKSONS Emils,CPLW,X,LAT,"[{'discipline': 'Skeleton', 'event': 'Mixed Team'}]"
BOBWTEAM2---SUI02,ANNEN Debora,CUSTOM,W,SUI,"[{'discipline': 'Bobsleigh', 'event': '2-woman'}]"
BOBWTEAM2---CAN01,APPIAH Cynthia,CUSTOM,W,CAN,"[{'discipline': 'Bobsleigh', 'event': '2-woman'}]"
ALPWTC-----ARG,Argentina,ORG,W,ARG,"[{'discipline': 'Alpine Skiing', 'event': ""Women's Team Combined""}]"
CCSWTEAMSP2-ARG01,Argentina,ORG,W,ARG,"[{'discipline': 'Cross-Country Skiing', 'event': ""Women's Team Sprint Free""}]"
CCSMTEAMSP2-ARG01,Argentina,ORG,M,ARG,"[{'discipline': 'Cross-Country Skiing', 'event': ""Men's Team Sprint Free""}]"
BOBWTEAM2---USA01,ARMBRUSTER HUMPHRIES Kaillie,CUSTOM,W,USA,"[{'discipline': 'Bobsleigh', 'event': '2-woman'}]"
BOBMTEAM2---CAN02,AUSTIN Taylor,CUSTOM,M,CAN,"[{'discipline': 'Bobsleigh', 'event': '2-man'}]"
BOBMTEAM4---CAN01,AUSTIN Taylor,CUSTOM,M,CAN,"[{'discipline': 'Bobsleigh', 'event': '4-man'}]"
CCSWTEAMSP2-AUS01,Australia,ORG,W,AUS,"[{'discipline': 'Cross-Country Skiing', 'event': ""Women's Team Sprint Free""}]"
CCSW4X7.5KM-AUS01,Australia,ORG,W,AUS,"[{'discipline': 'Cross-Country Skiing', 'event': ""Women's 4 x 7.5km Relay""}]"
CCSMTEAMSP2-AUS01,Australia,ORG,M,AUS,"[{'discipline': 'Cross-Country Skiing', 'event': ""Men's Team Sprint Free""}]"
FRSXAET-----AUS01,Australia,ORG,X,AUS,"[{'discipline': 'Freestyle Skiing', 'event': 'Mixed Team Aerials'}]"
SMTXRELAY---AUS01,Australia,ORG,X,AUS,"[{'discipline': 'Ski Mountaineering', 'event': 'Mixed Relay'}]"
SBDXBXT-----AUS01,Australia 1,ORGN,X,AUS,"[{'discipline': 'Snowboard', 'event': 'Mixed Team Snowboard Cross'}]"
SBDXBXT-----AUS02,Australia 2,ORGN,X,AUS,"[{'discipline': 'Snowboard', 'event': 'Mixed Team Snowboard Cross'}]"
SJPMLHTEAM2-AUT01,Austria,ORG,M,AUT,"[{'discipline': 'Ski Jumping', 'event': ""Men's Super Team""}]"
SJPXNHTEAM4-AUT01,Austria,ORG,X,AUT,"[{'discipline': 'Ski Jumping', 'event': 'Mixed Team'}]"
NCBMLH2X7.5KAUT01,Austria,ORG,M,AUT,"[{'discipline': 'Nordic Combined', 'event': 'Team Sprint'}]"
SMTXRELAY---AUT01,Austria,ORG,X,AUT,"[{'discipline': 'Ski Mountaineering', 'event': 'Mixed Relay'}]"
CCSMTEAMSP2-AUT01,Austria,ORG,M,AUT,"[{'discipline': 'Cross-Country Skiing', 'event': ""Men's Team Sprint Free""}]"
LUGXRELAY6--AUT01,Austria,ORG,X,AUT,"[{'discipline': 'Luge', 'event': 'Team Relay'}]"
CCSW4X7.5KM-AUT01,Austria,ORG,W,AUT,"[{'discipline': 'Cross-Country Skiing', 'event': ""Women's 4 x 7.5km Relay""}]"
CCSWTEAMSP2-AUT02,Austria,ORG,W,AUT,"[{'discipline': 'Cross-Country Skiing', 'event': ""Women's Team Sprint Free""}]"
BTHM4X7.5KM-AUT01,Austria,ORG,M,AUT,"[{'discipline': 'Biathlon', 'event': ""Men's 4 x 7.5km Relay""}]"
BTHW4X6KM---AUT01,Austria,ORG,W,AUT,"[{'discipline': 'Biathlon', 'event': ""Women's 4 x 6km Relay""}]"
BTHXRELAY4--AUT01,Austria,ORG,X,AUT,"[{'discipline': 'Biathlon', 'event': 'Mixed Relay 4 x 6km (M+W)'}]"
ALPWTC-----AUT01,Austria 1,ORGN,W,AUT,"[{'discipline': 'Alpine Skiing', 'event': ""Women's Team Combined""}]"
ALPMTC-----AUT01,Austria 1,ORGN,M,AUT,"[{'discipline': 'Alpine Skiing', 'event': ""Men's Team Combined""}]"
SBDXBXT-----AUT01,Austria 1,ORGN,X,AUT,"[{'discipline': 'Snowboard', 'event': 'Mixed Team Snowboard Cross'}]"
ALPMTC-----AUT02,Austria 2,ORGN,M,AUT,"[{'discipline': 'Alpine Skiing', 'event': ""Men's Team Combined""}]"
ALPWTC-----AUT02,Austria 2,ORGN,W,AUT,"[{'discipline': 'Alpine Skiing', 'event': ""Women's Team Combined""}]"
ALPWTC-----AUT03,Austria 3,ORGN,W,AUT,"[{'discipline': 'Alpine Skiing', 'event': ""Women's Team Combined""}]"
ALPMTC-----AUT03,Austria 3,ORGN,M,AUT,"[{'discipline': 'Alpine Skiing', 'event': ""Men's Team Combined""}]"
ALPMTC-----AUT04,Austria 4,ORGN,M,AUT,"[{'discipline': 'Alpine Skiing', 'event': ""Men's Team Combined""}]"
ALPWTC-----AUT04,Austria 4,ORGN,W,AUT,"[{'discipline': 'Alpine Skiing', 'event': ""Women's Team Combined""}]"
BOBMTEAM4---ITA01,BAUMGARTNER Patrick,CUSTOM,M,ITA,"[{'discipline': 'Bobsleigh', 'event': '4-man'}]"
BOBMTEAM2---ITA01,BAUMGARTNER Patrick,CUSTOM,M,ITA,"[{'discipline': 'Bobsleigh', 'event': '2-man'}]"
BOBWTEAM2---AUT01,BEIERL Katrin,CUSTOM,W,AUT,"[{'discipline': 'Bobsleigh', 'event': '2-woman'}]"
FSKXICEDANCEGBR02,BEKKER Phebe / HERNANDEZ James,CPLW,X,GBR,"[{'discipline': 'Figure Skating', 'event': 'Ice Dance'}, {'discipline': 'Figure Skating', 'event': 'Team Event'}]"
SSKWTEAMPU--BEL01,Belgium,ORG,W,BEL,"[{'discipline': 'Speed Skating', 'event': ""Women's Team Pursuit""}]"
STKM5000MRY4BEL01,Belgium,ORG,M,BEL,"[{'discipline': 'Short Track Speed Skating', 'event': ""Men's 5000m Relay""}]"
STKXRELAY4--BEL01,Belgium,ORG,X,BEL,"[{'discipline': 'Short Track Speed Skating', 'event': 'Mixed Team Relay'}]"
BTHXRELAY4--BEL01,Belgium,ORG,X,BEL,"[{'discipline': 'Biathlon', 'event': 'Mixed Relay 4 x 6km (M+W)'}]"
BTHW4X6KM---BEL01,Belgium,ORG,W,BEL,"[{'discipline': 'Biathlon', 'event': ""Women's 4 x 6km Relay""}]"
BTHM4X7.5KM-BEL01,Belgium,ORG,M,BEL,"[{'discipline': 'Biathlon', 'event': ""Men's 4 x 7.5km Relay""}]"
BOBMTEAM2---BRA01,BINDILATTI Edson Luques,CUSTOM,M,BRA,"[{'discipline': 'Bobsleigh', 'event': '2-man'}]"
BOBMTEAM4---BRA01,BINDILATTI Edson Luques,CUSTOM,M,BRA,"[{'discipline': 'Bobsleigh', 'event': '4-man'}]"
BOBWTEAM2---AUS02,BLIZZARD Sarah,CUSTOM,W,AUS,"[{'discipline': 'Bobsleigh', 'event': '2-woman'}]"
BOBWTEAM2---FRA01,BOCH Margot,CUSTOM,W,FRA,"[{'discipline': 'Bobsleigh', 'event': '2-woman'}]"
LUGMDOUBLES-SVK01,BOSMAN Christian / MICK Bruno,CPLP,M,SVK,"[{'discipline': 'Luge', 'event': ""Men's Doubles""}]"
LUGMDOUBLES-LAT01,BOTS Martins / PLUME Roberts,CPLP,M,LAT,"[{'discipline': 'Luge', 'event': ""Men's Doubles""}, {'discipline': 'Luge', 'event': 'Team Relay'}]"
CCSWTEAMSP2-BRA01,Brazil,ORG,W,BRA,"[{'discipline': 'Cross-Country Skiing', 'event': ""Women's Team Sprint Free""}]"
BOBMTEAM2---TTO01,BROWN Axel,CUSTOM,M,TTO,"[{'discipline': 'Bobsleigh', 'event': '2-man'}]"
BOBMTEAM4---TTO01,BROWN Axel,CUSTOM,M,TTO,"[{'discipline': 'Bobsleigh', 'event': '4-man'}]"
