discipline,event,count
Alpine Skiing,Men's Downhill,4
Alpine Skiing,Men's Giant Slalom,2
Alpine Skiing,Men's Slalom,2
Alpine Skiing,Men's Super-G,1
Alpine Skiing,Men's Team Combined,2
Alpine Skiing,Women's Downhill,3
Alpine Skiing,Women's Giant Slalom,2
Alpine Skiing,Women's Slalom,2
Alpine Skiing,Women's Super-G,1
Alpine Skiing,Women's Team Combined,3
Biathlon,Men's 10km Sprint,1
Biathlon,Men's 12.5km Pursuit,1
Biathlon,Men's 15km Mass Start,1
Biathlon,Men's 20km Individual,1
Biathlon,Men's 4 x 7.5km Relay,1
Biathlon,Mixed Relay 4 x 6km (M+W),1
Biathlon,Women's 10km Pursuit,1
Biathlon,Women's 12.5km Mass Start,1
Biathlon,Women's 15km Individual,1
Biathlon,Women's 4 x 6km Relay,1
Biathlon,Women's 7.5km Sprint,1
Bobsleigh,2-man,10
Bobsleigh,2-woman,10
Bobsleigh,4-man,10
Bobsleigh,Women's Monobob,10
Cross-Country Skiing,Men's 10km + 10km Skiathlon,1
Cross-Country Skiing,Men's 10km Interval Start Free,1
Cross-Country Skiing,Men's 4 x 7.5km Relay,1
Cross-Country Skiing,Men's 50km Mass Start Classic,1
Cross-Country Skiing,Men's Sprint Classic,4
Cross-Country Skiing,Men's Team Sprint Free,2
Cross-Country Skiing,Women's 10km + 10km Skiathlon,1
Cross-Country Skiing,Women's 10km Interval Start Free,1
Cross-Country Skiing,Women's 4 x 7.5km Relay,1
Cross-Country Skiing,Women's 50km Mass Start Classic,1
Cross-Country Skiing,Women's Sprint Classic,4
Cross-Country Skiing,Women's Team Sprint Free,2
Curling,Men,48
Curling,Mixed Doubles,48
Curling,Women,48
Figure Skating,Ice Dance,2
Figure Skating,Men Single Skating,2
Figure Skating,Pair Skating,2
Figure Skating,Team Event,8
Figure Skating,Women Single Skating,2
Freestyle Skiing,Men's Aerials,4
Freestyle Skiing,Men's Dual Moguls,5
Freestyle Skiing,Men's Freeski Big Air,6
Freestyle Skiing,Men's Freeski Halfpipe,5
Freestyle Skiing,Men's Freeski Slopestyle,5
Freestyle Skiing,Men's Moguls,4
Freestyle Skiing,Men's Ski Cross,6
Freestyle Skiing,Mixed Team Aerials,2
Freestyle Skiing,Women's Aerials,4
Freestyle Skiing,Women's Dual Moguls,5
Freestyle Skiing,Women's Freeski Big Air,6
Freestyle Skiing,Women's Freeski Halfpipe,5
Freestyle Skiing,Women's Freeski Slopestyle,5
Freestyle Skiing,Women's Moguls,4
Freestyle Skiing,Women's Ski Cross,6
Ice Hockey,Men,29
Ice Hockey,Women,27
Luge,Men's Doubles,8
Luge,Men's Singles,10
Luge,Team Relay,1
Luge,Women's Doubles,8
Luge,Women's Singles,10
Nordic Combined,Individual Gundersen Large Hill/10km,7
Nordic Combined,Individual Gundersen Normal Hill/10km,5
Nordic Combined,Team Sprint,3
Short Track Speed Skating,Men's 1000m,5
Short Track Speed Skating,Men's 1500m,4
Short Track Speed Skating,Men's 5000m Relay,3
Short Track Speed Skating,Men's 500m,5
Short Track Speed Skating,Mixed Team Relay,4
Short Track Speed Skating,Women's 1000m,5
Short Track Speed Skating,Women's 1500m,4
Short Track Speed Skating,Women's 3000m Relay,3
Short Track Speed Skating,Women's 500m,5
Skeleton,Men,10
Skeleton,Mixed Team,1
Skeleton,Women,10
Ski Jumping,Men's LH Individual,6
Ski Jumping,Men's NH Individual,5
Ski Jumping,Men's Super Team,3
Ski Jumping,Mixed Team,3
Ski Jumping,Women's LH Individual,5
Ski Jumping,Women's NH Individual,6
Ski Mountaineering,Men's Sprint,3
Ski Mountaineering,Mixed Relay,1
Ski Mountaineering,Women's Sprint,3
Snowboard,Men's Parallel Giant Slalom,6
Snowboard,Men's Snowboard Big Air,6
Snowboard,Men's Snowboard Cross,7
Snowboard,Men's Snowboard Halfpipe,5
Snowboard,Men's Snowboard Slopestyle,5
Snowboard,Mixed Team Snowboard Cross,4
Snowboard,Women's Parallel Giant Slalom,6
Snowboard,Women's Snowboard Big Air,6
Snowboard,Women's Snowboard Cross,7
Snowboard,Women's Snowboard Halfpipe,5
Snowboard,Women's Snowboard Slopestyle,5
Speed Skating,Men's 10000m,1
Speed Skating,Men's 1000m,1
Speed Skating,Men's 1500m,1
Speed Skating,Men's 5000m,1
Speed Skating,Men's 500m,1
Speed Skating,Men's Mass Start,2
Speed Skating,Men's Team Pursuit,5
Speed Skating,Women's 1000m,1
Speed Skating,Women's 1500m,1
Speed Skating,Women's 3000m,1
Speed Skating,Women's 5000m,1
Speed Skating,Women's 500m,1
Speed Skating,Women's Mass Start,2
Speed Skating,Women's Team Pursuit,4
